"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0011006","강원 원주시","서곡주유소","강원 원주시 판부면 남원로 174","20260309","SK에너지","일반","0","1897","1957","1700"
"A0011006","강원 원주시","서곡주유소","강원 원주시 판부면 남원로 174","20260310","SK에너지","일반","0","1897","1917","1700"
"A0015577","강원 원주시","세기주유소","강원 원주시 지정면 원문로 1035","20260309","SK에너지","일반","0","1918","1988","1450"
"A0015577","강원 원주시","세기주유소","강원 원주시 지정면 원문로 1035","20260310","SK에너지","일반","0","1918","1988","1350"
"A0011069","강원 원주시","소초주유소","강원 원주시 소초면 치악로 2834","20260309","SK에너지","일반","0","1898","1898","1450"
"A0011069","강원 원주시","소초주유소","강원 원주시 소초면 치악로 2834","20260310","SK에너지","일반","0","1898","1928","1550"
"A0009448","강원 원주시","수암주유소","강원 원주시 소초면 치악로 2574","20260309","HD현대오일뱅크","일반","0","1897","1897","1450"
"A0009448","강원 원주시","수암주유소","강원 원주시 소초면 치악로 2574","20260310","HD현대오일뱅크","일반","0","1897","1927","1450"
"A0033730","강원 원주시","스타셀프주유소","강원 원주시 지정면 기업도시로 224","20260309","GS칼텍스","셀프","0","1968","1898","0"
"A0033730","강원 원주시","스타셀프주유소","강원 원주시 지정면 기업도시로 224","20260310","GS칼텍스","셀프","0","1968","1898","0"
"A0011034","강원 원주시","신림농협주유소","강원도 원주시 신림면 신림황둔로 99 (신림면)","20260309","NH-OIL","셀프","0","1849","1849","1450"
"A0011034","강원 원주시","신림농협주유소","강원도 원주시 신림면 신림황둔로 99 (신림면)","20260310","NH-OIL","셀프","0","1849","1849","1450"
"A0010936","강원 원주시","신림주유소","강원 원주시 신림면 제원로 1429","20260309","SK에너지","일반","0","1950","1985","1650"
"A0010936","강원 원주시","신림주유소","강원 원주시 신림면 제원로 1429","20260310","SK에너지","일반","0","1950","1985","1650"
"A0011026","강원 원주시","신평주유소","강원 원주시 호저면 신무로 12","20260309","S-OIL","셀프","0","1867","1898","1600"
"A0011026","강원 원주시","신평주유소","강원 원주시 호저면 신무로 12","20260310","S-OIL","셀프","0","1877","1908","1600"
